Type,MAT,TS,CT,TM,Shape,Size,Zeta Potential,Admin,DE_tumor
ONM,Polymeric,Passive,Skin,Allograft Orthotopic,Spherical,2.421729716047564,-29.363652140984815,5.293021984451641,0.3920527791284334
ONM,Polymeric,Passive,Cervix,Xenograft Heterotopic,Spherical,2.297996846042524,25.35942841542733,4.755829809065028,0.3838344116688909
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Rod,2.2666123315059306,-17.266237661790054,0.8349168675445937,5.596877760921688
INM,Gold,Passive,Others,Xenograft Heterotopic,Spherical,1.8240648308880099,-3.2081186222369746,57.512439891092214,9.968918779500003
INM,Gold,Passive,Skin,Xenograft Orthotopic,Rod,1.3474806844783218,-2.174793238462067,1.2463731127991369,4.913883641204485
ONM,Hydrogel,Active,Liver,Allograft Heterotopic,Spherical,2.65199389639649,10.526186664383522,3.522449589863215,0.30311638669154384
ONM,Hydrogel,Active,Brain,Xenograft Heterotopic,Spherical,1.553185777146946,-0.031409063539647564,40.42459953716464,5.363341330699888
INM,Gold,Active,Sarcoma,Xenograft Heterotopic,Others,1.0296773501376384,0.1009303967720605,57.860103640000005,0.8699847994719214
INM,Gold,Passive,Ovary,Xenograft Heterotopic,Others,2.3881045369492093,17.45070643373169,1.370242015552141,0.4779391247557326
Hybrid,Other OM,Active,Liver,Allograft Heterotopic,Spherical,2.454735163294584,-5.694461758407359,44.394672535966286,1.8355829112891535
Hybrid,Hybrid,Passive,Breast,Xenograft Heterotopic,Rod,2.085422111838838,-2.788101724179899,5.9136314414331625,0.5933014841009656
INM,Gold,Active,Cervix,Xenograft Heterotopic,Spherical,2.081348685850993,32.908732373959,5.611165624390606,1.200663806617559
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Others,2.117036006641726,5.018269318941937,5.442043095412524,1.3779048473194129
ONM,Polymeric,Passive,Cervix,Xenograft Heterotopic,Spherical,1.8289551315709698,41.5372100205026,18.525149720385848,1.2435490165160359
ONM,Other OM,Passive,Lung,Allograft Heterotopic,Rod,1.9567651866635274,-1.2487883018804502,1.2390833122446612,0.2896942090634809
ONM,Other OM,Passive,Brain,Xenograft Heterotopic,Rod,2.3219453281912914,-15.15105945889053,10.541854342298196,0.0978686107848892
INM,Other IM,Active,Lung,Xenograft Heterotopic,Spherical,1.291125167616293,5.7890879265737745,1.542365600019631,9.968918779500003
ONM,Polymeric,Passive,Prostate,Xenograft Heterotopic,Spherical,1.4605701253160281,-2.38857188946222,11.627899271861889,0.22930612086042196
INM,Liposome,Passive,Breast,Xenograft Heterotopic,Spherical,1.992752344686932,-36.98675501288925,12.814435096442724,0.362372311025845
ONM,Other OM,Active,Breast,Allograft Heterotopic,Spherical,2.243471410101382,-29.080958840110146,0.13182296543224406,1.1358651633029404
ONM,Liposome,Passive,Breast,Allograft Heterotopic,Spherical,1.9361572038212707,-17.925069038741412,11.981013129297159,0.04621123484504169
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,2.0279224022046787,-0.26559881434754873,15.433580558209645,1.1400949390001296
INM,Gold,Active,Prostate,Xenograft Heterotopic,Rod,0.4313638,-6.612958324160871,2.828123073303911,0.6849191437967015
ONM,Silica,Active,Breast,Allograft Heterotopic,Spherical,2.0574602459177904,-20.660083798073668,57.860103640000005,1.8892920244885452
INM,Other OM,Active,Lung,Xenograft Orthotopic,Plate,2.126100349391552,-2.414247935560029,14.922627527671043,0.06895944402788243
ONM,Liposome,Passive,Liver,Xenograft Heterotopic,Spherical,2.0726369266257443,6.6446317417075065,4.013499976410489,0.24019902796664774
ONM,Polymeric,Passive,Glioma,Allograft Orthotopic,Plate,2.292970945625739,-7.268521914701153,0.6830003457941543,0.5016969619061946
ONM,Polymeric,Active,Cervix,Xenograft Heterotopic,Spherical,1.6572134193602137,-21.27793482091092,3.502402511582747,0.8913112315394027
INM,Other IM,Passive,Breast,Allograft Heterotopic,Others,0.9187965003164809,-17.074988693259364,5.122731625926024,0.24181652408882043
ONM,Dendrimer,Active,Colon,Xenograft Heterotopic,Spherical,1.0701752186964266,-15.237457480712125,1.2016993677197427,6.833244025862335
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,1.6425689044579026,-4.7418469433277215,33.701360812706874,0.8451502410149117
ONM,Polymeric,Passive,Ovary,Xenograft Orthotopic,Spherical,1.8840551985699538,-6.548668845475436,15.223409451470985,0.14637486884175582
Hybrid,Hybrid,Passive,Breast,Xenograft Heterotopic,Rod,2.0122338381430613,21.291853822612914,3.4859451869601035,9.968918779500003
INM,Other IM,Passive,Breast,Xenograft Heterotopic,Spherical,2.0768993595205303,-13.424762263595095,4.222263929609239,0.3497047576156641
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,0.5583567587101469,-29.807841325540277,2.85549537100418,0.2878780496308859
ONM,Dendrimer,Active,Skin,Xenograft Orthotopic,Spherical,0.7347510362282623,-13.564793788635827,1.753999611810364,9.968918779500003
ONM,Other OM,Passive,Skin,Allograft Orthotopic,Spherical,1.8057997808938138,-20.256042210330108,4.134380546066092,0.2188945334497947
ONM,Polymeric,Passive,Glioma,Allograft Orthotopic,Spherical,2.0258060782144516,8.442506811815067,57.860103640000005,0.39007818926486126
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,2.0530829739269425,-9.606911689941168,10.909144218036507,2.062640530263735
INM,Other OM,Active,Brain,Xenograft Heterotopic,Spherical,2.069066359561288,-30.23356574958472,36.18405549670715,0.4987626898699506
ONM,Other OM,Active,Brain,Xenograft Heterotopic,Spherical,2.1047480512025967,-7.924250416642284,6.941592707251433,1.1092287017240703
INM,Gold,Passive,Brain,Xenograft Orthotopic,Others,1.0400459517391942,-1.8743207641735817,4.877836117427013,1.2583117453783226
INM,Hybrid,Active,Skin,Xenograft Orthotopic,Spherical,1.0479937049282495,-22.864651403258637,4.128744821559344,1.077049201306143
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Rod,2.5997771072631646,-2.25927829407053,24.986806480539148,1.4516249394188696
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,2.2657771637350392,-19.818685726714634,34.8265950374043,0.3016092258219262
INM,Other IM,Active,Glioma,Xenograft Orthotopic,Rod,2.481815521516747,32.934789496479056,47.725856118664225,4.178349221973475
INM,Polymeric,Active,Cervix,Xenograft Orthotopic,Spherical,1.8390321870979567,-18.86795667023182,10.929953925285185,1.3723877175198576
Hybrid,Hybrid,Passive,Liver,Allograft Heterotopic,Spherical,2.2850679601207053,4.034369626947324,42.35638834439853,1.302265297211302
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,2.199076403272127,-0.7650956735400766,4.422492852870174,0.2315148282051985
ONM,Polymeric,Passive,Colon,Xenograft Heterotopic,Spherical,1.9567908427936482,-0.627340129277437,41.720571788572975,0.3421900565405134
INM,Hydrogel,Passive,Breast,Allograft Heterotopic,Others,2.570324462247764,-7.545430641918778,5.23391055116443,0.349932413020993
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Spherical,2.1702512257502193,-4.660416414000448,48.04112142844607,0.41807474404534817
INM,Other IM,Active,Glioma,Xenograft Orthotopic,Spherical,1.5929121324237745,-1.9517283221203838,0.3454809369818779,1.6443539179588775
ONM,Polymeric,Active,Glioma,Allograft Heterotopic,Spherical,2.2157385506014764,-26.41073603823177,0.6325611009162955,0.000174073
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,1.8792850724546635,-5.873396952379444,2.718228528100815,0.24666133035496998
INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,1.2832010821876394,-30.632717724961402,4.449732617577565,0.4411892791872737
ONM,Dendrimer,Passive,Breast,Xenograft Heterotopic,Spherical,2.2777092151377727,-20.691011307789157,1.0651319455098078,0.48552164339388587
INM,Gold,Active,Breast,Xenograft Heterotopic,Rod,1.4061166924511859,0.18474831773278932,7.186016264323802,3.6263420608076853
INM,Gold,Passive,Cervix,Xenograft Heterotopic,Rod,1.15959946853515,-23.08438888852188,6.639439789358549,0.41177439015808986
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.3691911715624174,4.477387855817339,40.53999731488554,2.7003161659926187
INM,Liposome,Passive,Glioma,Xenograft Orthotopic,Spherical,1.9174014805724298,-22.242573953784465,57.860103640000005,0.1763693781024914
INM,Other IM,Active,Liver,Allograft Heterotopic,Spherical,2.113788795120935,-9.189010409207995,9.936284416924435,1.0535927607594693
INM,Gold,Passive,Pancreas,Xenograft Heterotopic,Others,1.9418169264942606,-16.086605907178757,17.186017373312943,0.4564096680434837
INM,Other IM,Active,Liver,Allograft Heterotopic,Spherical,2.0570986122730672,-7.743700391229245,5.172066387071878,0.08068687192843418
ONM,Hydrogel,Passive,Lung,Xenograft Heterotopic,Others,1.9148813885991256,13.5516188782994,4.568303336862545,0.3978291324447013
INM,Other IM,Passive,Sarcoma,Xenograft Heterotopic,Spherical,2.127908796752881,19.692917382934027,7.580177223250612,9.293714032516359
Hybrid,Hybrid,Passive,Liver,Xenograft Heterotopic,Spherical,2.512662631537242,54.515107182315376,31.777122934658628,9.968918779500003
INM,Gold,Active,Skin,Xenograft Orthotopic,Rod,1.9227716608689231,-42.862560606181646,21.451790008480124,0.8025648761361541
Hybrid,Hybrid,Passive,Colon,Allograft Heterotopic,Rod,2.22225085801174,0.4885666704779674,17.68171435995282,2.308211865414294
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.08907311044178,2.5991437249910803,15.509197863837567,0.4648156843369264
INM,Gold,Passive,Pancreas,Xenograft Heterotopic,Others,1.1414579499858815,-9.008816065028064,3.453159663683188,1.09093535864444
INM,Polymeric,Active,Skin,Xenograft Orthotopic,Spherical,1.808198549306478,-0.048802923355866,18.746515208125384,1.3670466258615401
ONM,Other OM,Passive,Breast,Allograft Orthotopic,Plate,1.8757650185251014,-6.190416856813882,4.5875112267330564,0.07606157122616916
INM,Other IM,Passive,Breast,Xenograft Heterotopic,Rod,2.1554363136546746,14.366954852876187,5.247696934455816,0.42384750977854346
ONM,Polymeric,Active,Colon,Allograft Heterotopic,Spherical,2.1379377669743,-9.920653927410546,7.009334653764338,0.24545312143299686
INM,Other IM,Passive,Breast,Allograft Heterotopic,Rod,2.015744243361503,-9.373620183937172,5.806325858599502,0.5865765788214179
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,0.6099681353435336,-19.736819516325266,1.0412690808450686,2.376782867186348
INM,Silica,Active,Skin,Xenograft Orthotopic,Spherical,1.3072557443682522,-4.281529951337122,3.735341719816266,0.6709526015727891
INM,Gold,Passive,Ovary,Xenograft Orthotopic,Spherical,1.1784103173840854,-20.061815542218522,19.189067028556327,0.1482793408382531
ONM,Liposome,Passive,Breast,Allograft Heterotopic,Spherical,1.9142598501355197,-35.15703566475256,4.856286807823276,0.28868840359479436
Hybrid,Hybrid,Active,Liver,Allograft Heterotopic,Spherical,1.8110097789674167,-19.88842567558171,5.464970830083057,1.5648494115092046
ONM,Other OM,Active,Breast,Allograft Heterotopic,Plate,1.6061241865721374,0.5331409689193056,17.002470672474896,0.13043581059386336
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,1.4748768271546069,-19.606608819525288,2.570323849029355,1.3213018245654564
ONM,Polymeric,Active,Skin,Allograft Heterotopic,Spherical,1.73829613349813,-7.054895783825522,28.487182990022195,1.2071576635816204
Hybrid,Polymeric,Active,Lung,Xenograft Heterotopic,Spherical,1.9807812385437993,43.04228034213411,3.425558839743231,3.8132774886362313
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,2.2535403798370015,-0.6874979684212423,10.88885260896753,1.9187612403306749
ONM,Polymeric,Active,Skin,Allograft Heterotopic,Spherical,1.5637858230389106,-18.72857067483877,11.930902868474918,0.8172217641073654
ONM,Other OM,Active,Prostate,Allograft Heterotopic,Spherical,1.0117773704913124,-0.22361879999504808,9.368555170449488,0.18602284483879555
ONM,Polymeric,Passive,Colon,Xenograft Heterotopic,Spherical,1.2343304751103996,-5.32880485632107,17.76650801416934,0.943502066730955
INM,Other IM,Active,Breast,Xenograft Heterotopic,Others,1.49963416890723,1.311491194368379,4.956213563061223,0.324008687178187
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,2.00994937509061,-13.720110824654785,6.325041444719524,4.368713441583243
ONM,Liposome,Passive,Colon,Allograft Heterotopic,Spherical,2.057090115443747,4.849011814170277,2.89681300914245,0.0014963707568921172
INM,Silica,Active,Prostate,Xenograft Heterotopic,Others,0.7041057513733999,-0.8424298255283453,6.0877422302331095,0.5735073331415732
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.696568641262255,-16.67358491336396,8.19207616502879,0.6490013371788079
Hybrid,Hybrid,Passive,Liver,Xenograft Heterotopic,Rod,2.3985978328196773,33.0314746219166,24.05556383623339,7.812964066612944
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Rod,2.394766787323673,-2.8815994889503056,12.260937864860079,9.968918779500003
INM,Other IM,Passive,Pancreas,Allograft Heterotopic,Spherical,1.702506679573471,-1.191234504267042,15.801299025710385,0.6624675016754702
ONM,Other OM,Passive,Ovary,Xenograft Heterotopic,Spherical,1.6265282716914666,-21.77823731545331,5.212201534934666,0.11341763938951656
INM,Liposome,Active,Prostate,Allograft Heterotopic,Spherical,2.2740056650258365,-12.710790613391767,53.105945527783,9.400778403286818
ONM,Liposome,Passive,Liver,Allograft Heterotopic,Spherical,2.101138557463671,-11.302249327569479,30.13326362159764,0.1367483104265544
INM,Silica,Passive,Breast,Allograft Heterotopic,Rod,1.0722366951674058,-6.668102275319573,22.98382251971257,0.5604680635414045
INM,Other IM,Passive,Cervix,Xenograft Orthotopic,Spherical,1.7722403847959742,-27.208072800134186,6.256324315663882,0.9529747613349104
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Spherical,2.2049534177846075,-5.801935167661613,28.52793038961073,2.3895640005046577
ONM,Liposome,Active,Colon,Allograft Heterotopic,Spherical,0.5348266310703109,-20.536478975874733,3.76100267395224,0.29617196431686904
INM,Silica,Passive,Cervix,Xenograft Heterotopic,Spherical,2.2138211689803446,-14.722983531221155,46.53833424721267,0.16805356760365284
ONM,Hydrogel,Passive,Liver,Allograft Heterotopic,Spherical,2.172726171151815,3.604697517647729,2.336417230681522,0.19113536745949736
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Others,1.4631929321501291,-14.823548004128805,7.678733539156742,0.42568572223932327
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.8888334718255597,-18.329535154035188,2.9694336411308746,0.000174073
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Spherical,1.9713062738638514,-0.9031879457085135,3.909827348073632,0.17274393340118308
ONM,Other IM,Active,Skin,Xenograft Orthotopic,Rod,2.086127989768928,-28.91243666309785,3.5423417240236477,0.000174073
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.8917302219202343,-14.784154144994767,10.719763237126402,0.19351094137325756
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.1076168852252724,-15.130685887815908,57.860103640000005,6.292446643361096
ONM,Polymeric,Passive,Colon,Allograft Heterotopic,Spherical,1.8618814801425283,-1.560421904382659,1.91484747116044,0.2957388079880184
ONM,Polymeric,Active,Breast,Xenograft Heterotopic,Spherical,1.569180977160944,3.56744566600384,4.041130208378158,0.1469453926347853
INM,Other IM,Active,Pancreas,Xenograft Heterotopic,Spherical,2.014600557865206,-41.55651485349233,4.290085566727644,0.3974303638848645
INM,Hybrid,Active,Others,Xenograft Heterotopic,Spherical,1.7788677557481056,0.03315663032685845,26.130985626559596,6.177036419319933
INM,Gold,Passive,Breast,Xenograft Orthotopic,Spherical,0.6490932601958666,-4.709876659449174,3.644927628004737,1.9753281337216522
INM,Other IM,Passive,Sarcoma,Allograft Orthotopic,Spherical,1.041842940983554,-21.455779949286715,0.03756912338245786,1.5905502319871654
INM,Other IM,Active,Liver,Allograft Heterotopic,Spherical,2.2579656880542593,-17.383094249733404,4.974398448098248,0.24064916753527632
Hybrid,Hybrid,Active,Liver,Allograft Heterotopic,Rod,2.2914874527072975,15.161440767074472,1.7187548697145645,4.679099397492176
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Others,1.9556504394660779,41.02822582650397,7.5849473979766895,1.444498124323827
ONM,Dendrimer,Passive,Ovary,Xenograft Heterotopic,Spherical,0.7455354327611596,-4.008740196811772,23.637147595307674,1.6950674628347335
ONM,Other OM,Active,Brain,Allograft Heterotopic,Rod,2.0948487688232804,-11.75600498880764,5.199894244339221,0.30561087364980555
INM,Gold,Active,Skin,Xenograft Heterotopic,Spherical,1.9329485434043572,-6.97571379977287,4.956488291648238,1.0857607229134003
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.1285705256792893,-1.301796272765594,21.53628761202708,0.9592651571629449
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,1.2800385068673912,-13.639362865798818,5.044298889335841,1.6497108112563947
Hybrid,Hybrid,Passive,Breast,Xenograft Orthotopic,Plate,2.0233377155549936,-4.734529826416981,4.479294946522699,2.027344968162858
INM,Gold,Passive,Brain,Xenograft Heterotopic,Others,2.0108553027383103,13.089467219320056,21.524285138241673,0.5444862756953819
ONM,Other OM,Passive,Liver,Allograft Heterotopic,Plate,2.1409106480461944,-17.667983174796902,3.338850693510217,0.5333974992758157
ONM,Hydrogel,Active,Breast,Allograft Heterotopic,Spherical,2.1343144934947555,-16.157992097393798,0.34050043182707307,0.12297268930388497
ONM,Polymeric,Active,Ovary,Xenograft Orthotopic,Spherical,2.0023330626837192,-3.1777974965037394,21.07456851191999,0.14621521280234723
ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,2.263992167009144,-23.07970807327748,23.717485414797626,9.968918779500003
ONM,Liposome,Passive,Ovary,Xenograft Heterotopic,Spherical,2.2964382392051315,-14.924181111015175,46.11833752815705,1.2591433483161882
INM,Iron Oxide,Passive,Pancreas,Xenograft Heterotopic,Spherical,0.4551626999860664,-14.056385073951025,5.19300448292556,0.5122605802512483
INM,Gold,Active,Skin,Xenograft Orthotopic,Others,0.4313638,-13.874640338265735,5.490073242888568,2.1025961020058777
ONM,Polymeric,Passive,Breast,Xenograft Orthotopic,Spherical,1.919596042995489,-0.6344564920406415,3.1431551594098437,0.000174073
ONM,Polymeric,Active,Sarcoma,Allograft Orthotopic,Rod,1.5556361226751887,-26.080428947446816,0.4830221474510821,0.35113086238838664
INM,Liposome,Active,Lung,Xenograft Heterotopic,Spherical,2.307059361743987,11.735108459621822,17.475362315988846,3.278150890962464
INM,Gold,Active,Skin,Xenograft Orthotopic,Rod,1.5768179322159377,-1.1981460234463723,3.8566143011556884,4.430196273699758
INM,Hybrid,Active,Others,Xenograft Heterotopic,Spherical,2.2234810516598387,-34.16588443390221,57.860103640000005,5.156779120379118
INM,Other IM,Passive,Lung,Xenograft Heterotopic,Spherical,1.8788136671369964,27.184093539138228,36.9340637093308,0.4700361663716036
Hybrid,Hybrid,Active,Brain,Xenograft Heterotopic,Spherical,2.4204885362794477,-11.412271655553655,5.680892636303418,7.501698431989411
ONM,Liposome,Passive,Colon,Xenograft Heterotopic,Spherical,1.6501906523816003,12.265726237309849,44.376411065127655,0.43286498524447453
INM,Other IM,Active,Pancreas,Xenograft Orthotopic,Others,1.3788132866747764,-16.414084091090473,8.901195372122622,0.2856370908964925
Hybrid,Hybrid,Active,Liver,Xenograft Heterotopic,Rod,2.14297720423595,14.643694727441838,2.34386388067124,0.2252717690928303
Hybrid,Hybrid,Active,Liver,Xenograft Heterotopic,Spherical,1.5182926740671447,0.1560294454281177,4.2788635415557295,9.968918779500003
ONM,Polymeric,Active,Liver,Allograft Heterotopic,Spherical,1.818384339709185,-15.263929971026256,11.033102151671521,0.13262814802590392
INM,Other IM,Passive,Sarcoma,Allograft Orthotopic,Plate,1.5731283209563327,-32.01442239391475,6.200637304799295,0.18400694132092688
ONM,Other OM,Passive,Breast,Allograft Orthotopic,Plate,1.3613554877640714,-20.300978503328317,3.6205741892577894,0.6370607884011057
INM,Other IM,Passive,Cervix,Xenograft Heterotopic,Spherical,2.159385296368623,12.643647696690019,4.4233390206723575,1.2433240267527972
INM,Gold,Active,Breast,Allograft Heterotopic,Rod,1.9330174260033521,-18.884779844320533,6.102371597010199,7.926978825317608
ONM,Other OM,Passive,Breast,Xenograft Heterotopic,Rod,1.9227794821409019,2.4089581680222096,43.10989836487857,9.968918779500003
INM,Other IM,Passive,Glioma,Allograft Orthotopic,Plate,1.3262315381194756,-36.5115181719858,5.5218165524751015,0.15755064591799225
ONM,Hydrogel,Active,Liver,Allograft Heterotopic,Spherical,2.0865548864247048,-20.955766182646094,4.085724766628126,1.4318055872536877
ONM,Polymeric,Passive,Cervix,Xenograft Heterotopic,Spherical,1.3906581193716225,-1.7832748547132224,10.975225128104887,8.407624997586758
ONM,Other OM,Active,Lung,Xenograft Heterotopic,Plate,1.648702837496498,0.5787344664263276,4.134476114653292,0.41549116795294294
ONM,Other OM,Passive,Skin,Allograft Orthotopic,Spherical,2.5274409551201034,-18.85326037809265,3.569533344927497,7.712874688963398
ONM,Polymeric,Passive,Breast,Xenograft Heterotopic,Spherical,2.16096102263,-2.428437424672259,26.010639044781634,1.5327578678246359
ONM,Polymeric,Passive,Skin,Allograft Orthotopic,Spherical,1.6021394870970318,-21.222162706239835,0.6628448604109121,0.42287177527391734
INM,Liposome,Passive,Lung,Xenograft Heterotopic,Others,2.1569027897091666,5.482960631541825,2.1435200295130827,0.39472628961768846
ONM,Polymeric,Passive,Liver,Allograft Orthotopic,Rod,2.0826275353498778,14.469780477638981,10.042191320913103,0.16804420199614015
INM,Other IM,Active,Cervix,Xenograft Heterotopic,Spherical,1.4212187779906547,-0.7744722396415966,6.336062781514584,9.968918779500003
ONM,Other OM,Passive,Lung,Xenograft Heterotopic,Rod,1.8162644390752805,0.7880163899126029,57.860103640000005,0.31518533528756665
ONM,Polymeric,Active,Breast,Xenograft Heterotopic,Spherical,1.9897092896206836,1.1103632351745167,24.527825658140042,6.436315235743001
ONM,Polymeric,Active,Breast,Allograft Heterotopic,Spherical,1.955375387591894,-3.31889762397779,2.0743289397635385,3.4111546702346685
INM,Other IM,Passive,Sarcoma,Xenograft Orthotopic,Spherical,1.8788281700283416,0.8914187171537913,3.4600479240846758,0.32478257232653257
INM,Iron Oxide,Passive,Brain,Xenograft Heterotopic,Spherical,1.3815292658731593,-3.6019012697997184,12.077733402351555,0.623978661216843
INM,Gold,Active,Skin,Xenograft Orthotopic,Spherical,1.3135250826449534,2.9215597189038123,1.125193546114636,1.2472337779001235
INM,Gold,Passive,Others,Xenograft Heterotopic,Others,1.5950921846105384,-7.463159924636905,1.1583295830139813,0.63959943070458
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,2.2772203376396694,-29.92342552106573,1.0655597951563318,0.23611841274264514
INM,Gold,Passive,Pancreas,Xenograft Heterotopic,Others,1.5612942598337356,-0.5249379480462635,2.0453352286560973,0.13548244790230368
INM,Other IM,Passive,Sarcoma,Xenograft Heterotopic,Others,1.1824232190480837,3.785975624942566,7.893894985284691,7.165240033515692
ONM,Polymeric,Passive,Breast,Allograft Heterotopic,Spherical,1.878019222797894,-16.861959212351138,4.489746158651902,0.7811587972996137
INM,Gold,Active,Brain,Xenograft Orthotopic,Rod,1.705899497262973,-2.127601665144012,0.23412760548346928,1.0401888767759386
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,1.813900762260964,-4.128622766614422,18.441076047548467,0.4089400941221835
ONM,Other OM,Passive,Breast,Allograft Heterotopic,Spherical,1.6392209831104856,-1.9272782328434863,0.5416424820886498,0.4926694561807606
INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,1.3251421560799272,-21.184477899488964,4.041461162209851,0.11678982076886482
Hybrid,Other OM,Active,Liver,Allograft Heterotopic,Spherical,2.1526921414615234,-0.011372684314753911,7.882981730833972,0.8215943505687107
ONM,Hydrogel,Active,Liver,Allograft Heterotopic,Spherical,2.2111969002389262,-8.391161060270651,1.438789202628969,0.000174073
ONM,Other OM,Active,Liver,Allograft Heterotopic,Spherical,2.1269594654912196,-18.942553515973156,11.080673248378822,0.475392066265955
ONM,Dendrimer,Active,Liver,Allograft Heterotopic,Spherical,2.173125528264762,-10.254406045498266,4.644431854144903,4.48415551161711
INM,Silica,Active,Skin,Xenograft Orthotopic,Spherical,1.9943346444881043,-12.823413998995417,51.872954784047934,5.7511636504979355
ONM,Dendrimer,Passive,Colon,Allograft Orthotopic,Spherical,0.5421563947237805,0.8153126351089579,1.3281061793279467,8.616154962850432
INM,Silica,Active,Breast,Xenograft Orthotopic,Spherical,2.0244916831350026,-1.92257159367829,12.10055435166877,0.23972867066365916
ONM,Other OM,Active,Skin,Allograft Orthotopic,Spherical,2.125596379285339,-9.956813056819323,9.970515292471305,0.6947624948648645
ONM,Polymeric,Passive,Ovary,Xenograft Orthotopic,Spherical,1.8817307360033018,-2.556266559285735,7.8269071440746245,0.09833675172532015
ONM,Polymeric,Passive,Skin,Xenograft Orthotopic,Spherical,1.8676919126415699,-46.29361493216675,36.51156277506492,0.6669224218188776
ONM,Polymeric,Passive,Lung,Xenograft Heterotopic,Spherical,2.3071333608452584,8.709834821645497,57.860103640000005,0.3670754398168444
ONM,Liposome,Active,Colon,Allograft Heterotopic,Spherical,2.334720473649019,-14.987196553086376,9.647297303558,0.5382311782600817
Hybrid,Hybrid,Active,Breast,Xenograft Heterotopic,Spherical,2.4015514656590864,32.48110596879203,27.216098867728302,5.79872079771104
ONM,Other OM,Active,Cervix,Xenograft Orthotopic,Spherical,1.8356794916205514,-37.46863358538826,6.084866059117119,0.13456294649827696
ONM,Hydrogel,Active,Liver,Xenograft Heterotopic,Spherical,2.2977324443457405,14.498102641708272,20.278899174941515,0.3837175564631614
INM,Gold,Passive,Ovary,Xenograft Heterotopic,Rod,1.9503665159099413,-4.29617297871957,0.9127522082487043,0.4090553711872393
INM,Other IM,Active,Lung,Xenograft Heterotopic,Others,2.4081169810120904,-10.755681216690121,6.838680971059488,0.8361053808590795
ONM,Other OM,Passive,Sarcoma,Allograft Orthotopic,Spherical,2.3869880351718424,-24.90307305578208,0.28218359333776444,0.5212887971818174
ONM,Liposome,Passive,Breast,Allograft Orthotopic,Spherical,0.7635267719606692,-42.4284395471167,0.3756552779140187,0.04775996502640335
INM,Silica,Active,Prostate,Xenograft Heterotopic,Spherical,1.4863087867951885,-14.495624303407938,0.9257003769908903,0.45831670472748964
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Spherical,1.8603980380364222,-20.41918626928399,5.955075384199464,0.01034117365931072
ONM,Other OM,Active,Breast,Xenograft Heterotopic,Spherical,1.8071093702530916,1.5145188826250338,54.67341692717267,7.113122946275801
ONM,Polymeric,Active,Breast,Xenograft Orthotopic,Spherical,2.021225483539609,-23.127820372149152,54.007427831005735,0.6648958595797321
ONM,Polymeric,Passive,Liver,Allograft Heterotopic,Spherical,2.0593997867789975,-11.20075035383,5.057913608548444,1.6563414602361703
ONM,Other OM,Passive,Breast,Allograft Orthotopic,Rod,2.2714905421980904,-5.896392870756559,5.074233679837435,0.003004953723408492
ONM,Polymeric,Passive,Breast,Allograft Orthotopic,Rod,2.132967143294078,-12.688009462554922,12.462227658525226,0.000174073
ONM,Liposome,Active,Breast,Allograft Heterotopic,Spherical,2.1302240539098616,-15.10271991770395,2.6605565055789824,0.5550010090738724
INM,Gold,Passive,Skin,Allograft Orthotopic,Spherical,1.343834193760976,-21.14169052666793,57.860103640000005,9.627240806112752
ONM,Polymeric,Active,Colon,Allograft Heterotopic,Spherical,1.9114050749911766,-8.538416435963558,16.906131728369292,0.4294583181302699
